/libpng-1.6.34.tar.gz/INSTALL,CrystalStacker;CrystalStacker;Vim;Vim;Vim,CrystalStacker;CrystalStacker;Vim;Vim;Vim
/libpng-1.6.34.tar.gz/pngpread.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngpriv.h,AGPL-1.0;Aladdin;LGPLLR;Libpng;Vim;Vim;Vim,AGPL-1.0;Aladdin;LGPLLR;Libpng;Vim;Vim;Vim
/libpng-1.6.34.tar.gz/pngread.c,Libpng;PDDL-1.0;PDDL-1.0;PDDL-1.0;PDDL-1.0,Libpng;PDDL-1.0;PDDL-1.0;PDDL-1.0;PDDL-1.0
/libpng-1.6.34.tar.gz/pngrio.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngrtran.c,Libpng;PDDL-1.0,Libpng;PDDL-1.0
/libpng-1.6.34.tar.gz/pngrutil.c,CECILL-2.0;Libpng;PDDL-1.0;PDDL-1.0,CECILL-2.0;Libpng;PDDL-1.0;PDDL-1.0
/libpng-1.6.34.tar.gz/pngset.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngstruct.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngtest.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngtrans.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwio.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwrite.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwtran.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/pngwutil.c,Libpng;PDDL-1.0,Libpng;PDDL-1.0
/libpng-1.6.34.tar.gz/projects/owatcom/pngconfig.mak,SPL-1.0,SPL-1.0
/libpng-1.6.34.tar.gz/scripts/libtool.m4,FSFULLR;GPL-3.0+,FSFULLR;GPL-3.0+
/libpng-1.6.34.tar.gz/scripts/ltoptions.m4,FSFULLR,FSFULLR
/libpng-1.6.34.tar.gz/scripts/ltsugar.m4,FSFULLR,FSFULLR
/libpng-1.6.34.tar.gz/scripts/ltversion.m4,FSFAP;FSFULLR,FSFAP;FSFULLR
/libpng-1.6.34.tar.gz/scripts/lt~obsolete.m4,FSFULLR,FSFULLR
/libpng-1.6.34.tar.gz/scripts/pnglibconf.dfa,Artistic-2.0;PDDL-1.0,Artistic-2.0;PDDL-1.0
/libpng-1.6.34.tar.gz/test-driver,GPL-3.0+;Libtool-exception,GPL-3.0+;Libtool-exception
