/libpng-1.6.34.tar.gz/CHANGES,Libpng;Libpng;Libpng;Libpng;Libpng,Libpng;Libpng;Libpng;Libpng;Libpng
/libpng-1.6.34.tar.gz/contrib/libtests/pngunknown.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/libtests/pngvalid.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/libtests/readpng.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/libtests/tarith.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/libtests/timepng.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/mips-msa/linux.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/oss-fuzz/Dockerfile,Apache-2.0,Apache-2.0
/libpng-1.6.34.tar.gz/contrib/oss-fuzz/README.txt,Apache-2.0;Libpng;Libpng,Apache-2.0;Libpng;Libpng
/libpng-1.6.34.tar.gz/contrib/oss-fuzz/build.sh,Apache-2.0,Apache-2.0
/libpng-1.6.34.tar.gz/contrib/oss-fuzz/libpng_read_fuzzer.cc,BSD-3-Clause,BSD-3-Clause
/libpng-1.6.34.tar.gz/contrib/oss-fuzz/newcc,BSD-3-Clause,BSD-3-Clause
/libpng-1.6.34.tar.gz/contrib/pngminim/decoder/pngusr.dfa,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/pngminim/decoder/pngusr.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/pngminim/encoder/pngusr.dfa,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/pngminim/encoder/pngusr.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/pngminim/preader/pngusr.dfa,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/pngminim/preader/pngusr.h,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/pngminus/README,PBM Library License,PBM Library License
/libpng-1.6.34.tar.gz/contrib/pngminus/png2pnm.c,PBM Library License,PBM Library License
/libpng-1.6.34.tar.gz/contrib/pngminus/pnm2png.c,PBM Library License,PBM Library License
/libpng-1.6.34.tar.gz/contrib/pngsuite/README,PngSuite License,PngSuite License
/libpng-1.6.34.tar.gz/contrib/powerpc-vsx/linux.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/powerpc-vsx/linux_aux.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/testpngs/makepngs.sh,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/tools/README.txt,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/tools/checksum-icc.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/tools/chkfmt,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/tools/cvtcolor.c,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/tools/genpng.c,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/tools/intgamma.sh,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/tools/makesRGB.c,CC0-1.0,CC0-1.0
/libpng-1.6.34.tar.gz/contrib/tools/png-fix-itxt.c,Libpng,Libpng
/libpng-1.6.34.tar.gz/contrib/tools/pngcp.c,Libpng,Libpng
