filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
zlib-thin.ads,/zlib-1.2.11.tar.gz/contrib/ada,GPL-1.0+,109.00%,GPL-1.0+,92b08ae0238ed5046f1a84959e6e8a54,faf47e35174e1e76edb85ea602779084e535df69,631ef170bde16c3ca8d412b54a0e519815b80197d208f8f393e6fe017bb0968e,15819,15.4K
zlib.adb,/zlib-1.2.11.tar.gz/contrib/ada,GPL-1.0+,109.00%,GPL-1.0+,f46bd97cccf4719989ee553daa36f8c6,3961008f51def7ffcd692453df7b0f1d8b680645,c9ca5dc34fbcdf06e2dc777b7e9dcd0ba31085b772b440eb0e12421323ab672c,20400,19.9K
zlib.ads,/zlib-1.2.11.tar.gz/contrib/ada,GPL-1.0+,109.00%,GPL-1.0+,71de2670f2e588b51c62e7f6a9046399,0245a91806d804bf9f0907a3a001a141e9adb61b,02634bec0d5e4c69d8d2859124380074a57de8d8bd928398379bfacc514236d2,13594,13.3K
zlib.gpr,/zlib-1.2.11.tar.gz/contrib/ada,GPL-1.0+,109.00%,GPL-1.0+,38044e8f5f88e1f70ade036779d56ee8,c36c2cf069e930eb81ee0c89bfe70c20c8d0511a,859bb69dce38dbe9dca06753cf7ae7bd16d48f4fece8b87582dab8e30681d3de,511,511B
amd64-match.S,/zlib-1.2.11.tar.gz/contrib/amd64,Info-ZIP,100.00%,Info-ZIP,5f6c5b314559290786a59c0320b800d5,4ac2676fb0393520f0d051965529c39139e7de8c,166007f7e9adb58fe8b83d85bbfe823f5e05858ba1d06edf637b78886caa2c69,12418,12.1K
README.686,/zlib-1.2.11.tar.gz/contrib/asm686,Info-ZIP,100.00%,Info-ZIP,c28b5c0d295403ec6c6ba001238ec648,ac08681935257d53b3fd1793788a1406a781ee22,c21cc7147c956ecae17dd084cb41a206b086216fa521012871fb07fafd203c6d,1622,1.6K
match.S,/zlib-1.2.11.tar.gz/contrib/asm686,Info-ZIP,100.00%,Info-ZIP,35c8e3cc241cef1605bd108b5319ca63,f1023ae9dab5691291f42b180551bae164086492,873799062495629f21cd3f779ea4b927add7aae0144e32d3594d9ce70185e99d,10365,10.1K
Makefile,/zlib-1.2.11.tar.gz/contrib/blast,Info-ZIP,100.00%,Info-ZIP,5cd923d6c5e717cdc43180aaa2eeed18,c18cae8b163b2fc351bc59b8efad7a190d1ead78,17d5d26c24bf51cad51045a38ffb73cc3539d29e89885aa249fcfd45a8659d5c,127,127B
README,/zlib-1.2.11.tar.gz/contrib/blast,Info-ZIP,100.00%,Info-ZIP,b93c34189a9302e6f43c53c7d0277637,69a33e70f88cc1f3520e2154ed38d3f690ee26e5,baa763ae03d88ef7ece6eb80d9a099b43d0b57639d6d281e1c7c6ca79d81daba,74,74B
blast.c,/zlib-1.2.11.tar.gz/contrib/blast,Info-ZIP,100.00%,Info-ZIP,fc91693deab323a4810a4cbd3c923c4a,809a3404b6e9e1bc120ff0313c31c4bd2b776823,1ab3e479d342bfc144167b808fb00142264bc50f24a110ca88cc774e351c218e,18162,17.7K
blast.h,/zlib-1.2.11.tar.gz/contrib/blast,Info-ZIP,55.00%,Info-ZIP,aa831d52e70bab6b0319724628e4acce,b20eb7c03966462cafbf896c97263632004bd867,4d4e3e6f893316f0be77bfd642c857a77f1fa2925acb5df9753e543d35aa3a6a,3865,3.8K
test.pk,/zlib-1.2.11.tar.gz/contrib/blast,Info-ZIP,100.00%,Info-ZIP,f8dd3560a13a68bd15f5ca5a53c94ce9,00d07b4c71bad842d7e04210f966e55977efd9c3,5f5c262c545574a5c221132d5ef832478d222d70b015341795b3860204140d7c,8,8B
test.txt,/zlib-1.2.11.tar.gz/contrib/blast,Info-ZIP,100.00%,Info-ZIP,1201a93782f0542d6fbf5134c1a5a4c6,aed9b9fc86b2b47a4c46053df53feb544ecf31ce,9679b2c98e1283222d0782b25a1c198dc64ba9ebd1addd6dc6f643a45947cda3,13,13B
ZLib.pas,/zlib-1.2.11.tar.gz/contrib/delphi,Info-ZIP,100.00%,Info-ZIP,bcc04a52a768c648243ede04a1d417ac,25133131cac8eeed1962e7a9072b06591481a520,1b20e173443a68c189cdaa4795620fb1ac165d9e61a27a1ed2cf690f13530d6f,16413,16K
ZLibConst.pas,/zlib-1.2.11.tar.gz/contrib/delphi,Info-ZIP,100.00%,Info-ZIP,b02c46423595bd6358de3b7c5a148a88,e0ff4d3c14a4dcdbf170692ce0fec86939b500d0,84bcc580bdf397e570f86f3f5a5b8c7bf537828f30b4b72648b81911f6bf5095,186,186B
readme.txt,/zlib-1.2.11.tar.gz/contrib/delphi,Info-ZIP,100.00%,Info-ZIP,e43e458c50d36075813a1533d05a0bdc,366e08eaa227cd3d09810c45639aedf4879b7ecf,f7420ed2de77d4b498eefbbe6402a1d17dc2d411735289c78a265c7f10fdaee5,2500,2.4K
zlibd32.mak,/zlib-1.2.11.tar.gz/contrib/delphi,Info-ZIP,100.00%,Info-ZIP,b2cc80e48f2aa69be40b6f52ba3480c4,ddf83b34d4c7d41ace39f96b5cb13fb390c8d2eb,850e91b6c9ea05de61a411cbda16fa0f10118cd88bb32c4b7226988776f8d511,2360,2.3K
DotZLib.build,/zlib-1.2.11.tar.gz/contrib/dotzlib,BSL-1.0,196.00%,BSL-1.0,b1aaa7c52472b3cb4bc9ffd50de23c4c,6f87ba12d786feca35738d0e9ce1f0f03f292881,b96137097669644ecb9f42cdd3399d1fce9c512788374609303f7e50abf597f0,1175,1.1K
DotZLib.chm,/zlib-1.2.11.tar.gz/contrib/dotzlib,BSL-1.0,196.00%,BSL-1.0,87982cfd077364bc596aecebb7668297,a1245c21c7e918fa2919fd10bbe5604fc81faf49,20d0e3edd57f849143255a7f0df1cd59d41db464a72c0d5ab42846438a729579,72726,71K
DotZLib.sln,/zlib-1.2.11.tar.gz/contrib/dotzlib,BSL-1.0,196.00%,BSL-1.0,46821b590c4a11eab8409b1d3f1c6fca,4946bdb71b79bff62f9217802b7524010c669408,a979198c5b8d144c1ac8f993bfb6f4085d135aa58ca9dcf63ebabf52b5c695f7,907,907B
AssemblyInfo.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,23d0d7c18846fc31655b6aa89b7c8038,9f1db1177b2e9a014f72bb3cd80be17133e06d16,314afcfb339ea95f5431047b7ab24631b11c3532c7ce5dc2094ed0cf80a7c16d,2500,2.4K
ChecksumImpl.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,d01b3cb2e75da9b15f05b92b42f6bd33,3807a0e24a57b92ea301559cab7307b8eab52c51,e7c047a2c3bcf88d3d002ee3d2d05af414acf53cb4451efacc0f2e95a474ea0f,8040,7.9K
CircularBuffer.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,0f21c8a8e81b9409c3cc82200210b977,1e646570737b175729a916da13b23fe88fcbd0e8,be84c9736fe7bdc2bfae70466d8fff582504e928d5b5e110fd758090090c8cb7,2246,2.2K
CodecBase.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,24dc08da7a2f4ae283334414effe4342,2106c80ed4607f10400ceed9aa8f635efdea9345,259bdda1b7d6052134e631fa24bfd9dca6e2362563496c8b85257b56c848908c,6335,6.2K
Deflater.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,1fdc6f77f6fcf582ab011646db1b8080,11f6bf695e4b8ddac0d8553640ef303d9b7cab72,06ba6696a3c15c53ba5fd5a1c2bf50b51f217010228fc1e4c8495ee578f480de,3992,3.9K
DotZLib.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,250192c134de2a3c9c1d11eaa490bce1,e9c7c49791d38b49a39aab76f593b2ea229fa940,9837fe993fd631233cc5e53ff084d86754b97f05ec77c54b0764c2706f186134,9927,9.7K
DotZLib.csproj,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,1549ce82a2662e77a22625f68c0a5d36,99238c2ad633a641687d722e8c80aaa0a8c8bdd2,21606db31dfef6410dd438b73f1db68856eacabcce6c0f0411fc4f17e17001f3,5396,5.3K
GZipStream.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,0c83e2409077960456b040ce13fa1fd4,731206b5721b9a7be5a1cbc98e3cc969bd176b4b,8d1de9755c77046b4ac71340a0a54434ebf4fd11b085c44454d7663a9b4df1c5,11162,10.9K
Inflater.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,6071d8412268ff9765540c491a26de1a,25f788ff0015c08fcd74d6e4552e01792c559350,9016ca73818f5b6a28791abc3af6da7c4d2773b6a3804f593f6d5737a62b99ad,3740,3.7K
UnitTests.cs,/zlib-1.2.11.tar.gz/contrib/dotzlib/DotZLib,BSL-1.0,100.00%,BSL-1.0,7bd54b47c37a88cc11c8e92c89be5a66,8d35d4a5b28e472f5618185c295d1964c1459d07,ad66ac08de34d253e9615b96a745f3dfeda93f4a978d65d5d3ddb9d0d9b3e099,7685,7.5K
LICENSE_1_0.txt,/zlib-1.2.11.tar.gz/contrib/dotzlib,BSL-1.0,196.00%,BSL-1.0,81543b22c36f10d20ac9712f8d80ef8d,892b34f7865d90a6f949f50d95e49625a10bc7f0,36266a8fd073568394cb81cdb2b124f7fdae2c64c1a7ed09db34b4d22efa2951,1359,1.3K
readme.txt,/zlib-1.2.11.tar.gz/contrib/dotzlib,BSL-1.0,196.00%,BSL-1.0,1f20f3168ee63d90de033edac2ce383c,b1229b826f0096808628474538cea8fec2922a9b,d04972a91b1563fb4b7acab4b9ff2b84e57368953cc0596d5f5ea17d97315fd0,2358,2.3K
gvmat64.S,/zlib-1.2.11.tar.gz/contrib/gcc_gvmat64,Info-ZIP,100.00%,Info-ZIP,5e772d7302475e5473d0c4c57b9861e8,742603cba1af98a1432cc02efb019b1a5760adf2,22ff411b8b1d1b04aeaa8418b68245400267dc43c6f44104f6ccd37f0daee89f,16413,16K
README,/zlib-1.2.11.tar.gz/contrib/infback9,Info-ZIP,100.00%,Info-ZIP,84ff1d06483d3da2af928cddcab88a1b,b3905a8a31f7c61114b5fa6e203682b250e029d6,890288f02bb3b1f9cc654b87a07fcea695f90f6b9bd672d25bf6be1da2ec1688,51,51B
