/zlib-1.2.11.tar.gz/FAQ,GPL-1.0-or-later;GPL-1.0-or-later,GPL-1.0-or-later;GPL-1.0-or-later
/zlib-1.2.11.tar.gz/contrib/masmx64/inffas8664.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/masmx86/inffas32.asm,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/masmx86/match686.asm,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/minizip/MiniZip64_info.txt,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/minizip/unzip.c,Info-Zip License 2009-01,Info-Zip License 2009-01
/zlib-1.2.11.tar.gz/contrib/minizip/unzip.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/minizip/zip.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/pascal/example.pas,See License mention;See License mention;Zlib,See License mention;See License mention;Zlib
/zlib-1.2.11.tar.gz/contrib/pascal/readme.txt,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/pascal/zlibpas.pas,See License mention,See License mention
/zlib-1.2.11.tar.gz/contrib/puff/puff.c,See License mention,See License mention
/zlib-1.2.11.tar.gz/contrib/puff/puff.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/contrib/puff/pufftest.c,See License mention,See License mention
/zlib-1.2.11.tar.gz/crc32.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/deflate.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/deflate.h,Zlib;Zlib,Zlib;Zlib
/zlib-1.2.11.tar.gz/doc/rfc1950.txt,Peter Deutsch Document License,Peter Deutsch Document License
/zlib-1.2.11.tar.gz/doc/rfc1951.txt,Peter Deutsch Document License,Peter Deutsch Document License
/zlib-1.2.11.tar.gz/doc/rfc1952.txt,Peter Deutsch Document License,Peter Deutsch Document License
/zlib-1.2.11.tar.gz/examples/fitblk.c,Public Domain,Public Domain
/zlib-1.2.11.tar.gz/examples/gun.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/examples/gzappend.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/examples/gzjoin.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/examples/gzlog.c,See License mention,See License mention
/zlib-1.2.11.tar.gz/examples/gzlog.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/examples/zlib_how.html,Public Domain,Public Domain
/zlib-1.2.11.tar.gz/examples/zpipe.c,Public Domain,Public Domain
/zlib-1.2.11.tar.gz/examples/zran.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/gzclose.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/gzguts.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/gzlib.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/gzread.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/gzwrite.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/infback.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/inffast.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/inffast.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/inffixed.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/inflate.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/inflate.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/inftrees.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/inftrees.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/msdos/Makefile.dj2,Zlib,Zlib
/zlib-1.2.11.tar.gz/msdos/Makefile.emx,Zlib,Zlib
/zlib-1.2.11.tar.gz/old/Makefile.emx,Zlib,Zlib
/zlib-1.2.11.tar.gz/old/os2/Makefile.os2,Zlib,Zlib
/zlib-1.2.11.tar.gz/test/example.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/test/infcover.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/test/minigzip.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/trees.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/uncompr.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/win32/DLL_FAQ.txt,Zlib,Zlib
/zlib-1.2.11.tar.gz/win32/Makefile.gcc,Zlib,Zlib
/zlib-1.2.11.tar.gz/win32/README-WIN32.txt,Zlib,Zlib
/zlib-1.2.11.tar.gz/zconf.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/zconf.h.cmakein,Zlib,Zlib
/zlib-1.2.11.tar.gz/zconf.h.in,Zlib,Zlib
/zlib-1.2.11.tar.gz/zlib.3,Zlib,Zlib
/zlib-1.2.11.tar.gz/zlib.3.pdf,Zlib,Zlib
/zlib-1.2.11.tar.gz/zlib.h,Zlib,Zlib
/zlib-1.2.11.tar.gz/zutil.c,Zlib,Zlib
/zlib-1.2.11.tar.gz/zutil.h,Zlib,Zlib
